"filename", "language", "Markdown", "JSON", "HTML", "JavaScript", "TypeScript", "JSON with Comments", "TypeScript JSX", "CSS", "XML", "comment", "blank", "total"
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\client\src\pages\Cart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 149, 0, 0, 2, 4, 155
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\client\src\pages\CreateAccount.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 106, 0, 0, 8, 4, 118
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\client\src\pages\Login.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 85, 0, 0, 1, 5, 91
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\client\src\pages\MainPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 96, 0, 0, 2, 8, 106
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\client\src\pages\MyAccount.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 118, 0, 0, 6, 5, 129
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\client\src\pages\ProductDetails.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 180, 0, 0, 0, 7, 187
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\client\src\pages\Reviews.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 126, 0, 0, 1, 6, 133
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\client\src\pages\Wishlist.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 85, 0, 0, 0, 2, 87
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\client\src\services\api.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 3, 9
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\client\src\services\cart.ts", "TypeScript", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 4, 23
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\client\src\services\product.ts", "TypeScript", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 4, 27
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\client\src\services\user.ts", "TypeScript", 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 5, 55
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\client\src\services\wishlist.ts", "TypeScript", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 3, 20
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\client\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 2, 2, 10
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\client\tailwind.config.js", "JavaScript", 0, 0, 0, 16, 0, 0, 0, 0, 0, 1, 1, 18
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\client\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 20, 0, 0, 0, 6, 0, 26
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\client\tsconfig.node.json", "JSON", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\client\vercel.json", "JSON", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\client\vite.config.ts", "TypeScript", 0, 0, 0, 0, 8, 0, 0, 0, 0, 1, 3, 12
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\package-lock.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\package.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\shared\Types\ICart.d.ts", "TypeScript", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 3, 20
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\shared\Types\IProduct.d.ts", "TypeScript", 0, 0, 0, 0, 13, 0, 0, 0, 0, 1, 2, 16
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\shared\Types\IReview.d.ts", "TypeScript", 0, 0, 0, 0, 16, 0, 0, 0, 0, 1, 4, 21
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\shared\Types\IUser.d.ts", "TypeScript", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 3, 22
"Total", "-", 0, 14509, 31, 38, 1480, 38, 2013, 30, 2, 231, 301, 18673
